source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val
1.14947E+18,124.1608796,0.590350812,85.04476372,0.751269061,0.164300896,0.651758838,20.606571,1.6276608,,,NOT_AVAILABLE,,
1.14947E+18,124.921099,0.13236605,85.05588249,0.168136587,0.874450902,0.152939679,18.634851,1.7477417,,,NOT_AVAILABLE,,
1.14952E+18,122.4805303,0.823243374,85.20616294,1.129718304,1.394325301,1.380605634,20.822735,1.439661,,,NOT_AVAILABLE,,
1.14952E+18,123.5853602,1.590210045,85.18452342,2.129931692,,,20.98759,1.4226303,,,NOT_AVAILABLE,,
1.14949E+18,119.9559096,0.541714633,85.04925909,0.606311497,1.295158706,0.712505631,20.480934,1.4393196,,,NOT_AVAILABLE,,
1.14947E+18,124.7528534,0.173884548,85.18595693,0.212237246,0.568041393,0.205899586,19.090387,1.6767769,,,NOT_AVAILABLE,,
1.14953E+18,117.9614285,0.841565646,85.24343471,1.113442283,1.762711461,1.153328663,20.695724,,,,NOT_AVAILABLE,,
1.14947E+18,125.1032104,0.026329176,85.14836618,0.030978944,2.317349101,0.029512598,15.663475,1.7047501,,,NOT_AVAILABLE,4444.7036,0.438
1.14947E+18,125.2311021,0.728187886,85.1572298,1.146092657,-0.310268759,0.732779868,20.70037,1.0844078,,,NOT_AVAILABLE,,
1.14953E+18,119.7378481,0.191159629,85.26046533,0.226399508,0.195835535,0.253151494,19.03034,0.8576851,,,NOT_AVAILABLE,,
1.14953E+18,119.2079383,7.113725205,85.1880792,3.824801118,,,21.043121,,,,NOT_AVAILABLE,,
1.1495E+18,116.6654117,0.026711708,85.01694454,0.035981913,1.393784738,0.037944555,15.757305,1.2881002,,,NOT_AVAILABLE,4976,0.216
1.14952E+18,123.3617354,0.055765821,85.18219242,0.064167396,0.29035161,0.063832664,17.116821,0.794178,,,NOT_AVAILABLE,,
1.14947E+18,125.7907869,0.072403565,85.07792412,0.079237678,1.489659447,0.078989435,17.556385,2.1360836,,,NOT_AVAILABLE,,
1.14947E+18,125.0020107,0.019899446,85.05586757,0.021660486,2.297548144,0.020515435,12.854992,0.8121433,-4.656207922,2.230085786,NOT_AVAILABLE,5818,0.111
1.1495E+18,116.6552408,0.016425006,85.00976472,0.022385712,0.785228752,0.0236372,14.444687,0.8442087,,,NOT_AVAILABLE,5785.5,0.628
1.14953E+18,118.6237571,0.189006837,85.21880351,0.260571791,1.834210411,0.274242853,19.177845,2.4255772,,,NOT_AVAILABLE,,
1.14952E+18,122.9853606,0.102567172,85.15803319,0.127273899,0.539016679,0.124758459,18.282463,1.0443687,,,NOT_AVAILABLE,,
1.14954E+18,120.1861489,1.115214758,85.33569033,1.482205148,2.303483014,1.718594738,20.931292,1.149044,,,NOT_AVAILABLE,,
1.14947E+18,124.938916,0.242431299,85.13265522,0.314488901,0.919548355,0.29339517,19.494524,2.3667965,,,NOT_AVAILABLE,,
1.14947E+18,125.1919365,0.189805768,85.17947035,0.239789192,0.930406857,0.222419476,19.20152,1.9635639,,,NOT_AVAILABLE,,
1.14953E+18,118.9678741,0.474981036,85.33396849,0.650534096,2.297719532,0.690961497,20.500435,1.1692524,,,NOT_AVAILABLE,,
1.14951E+18,122.5713081,1.287650462,85.0653046,1.773443839,,,20.944801,1.8604965,,,NOT_AVAILABLE,,
1.14952E+18,123.1805834,0.693896778,85.27951382,1.209089782,1.399025818,0.961069381,20.883053,2.7825336,,,NOT_AVAILABLE,,
